ds	trend	cap	yhat_lower	yhat_upper	trend_lower	trend_upper	Anzac Day	Anzac Day_lower	Anzac Day_upper	Auckland Anniversary Day	Auckland Anniversary Day_lower	Auckland Anniversary Day_upper	Boxing Day	Boxing Day_lower	Boxing Day_upper	Christmas Day	Christmas Day_lower	Christmas Day_upper	Day after New Year's Day	Day after New Year's Day_lower	Day after New Year's Day_upper	Easter Monday	Easter Monday_lower	Easter Monday_upper	Good Friday	Good Friday_lower	Good Friday_upper	Labour Day	Labour Day_lower	Labour Day_upper	New Year's Day	New Year's Day_lower	New Year's Day_upper	Queen's Birthday	Queen's Birthday_lower	Queen's Birthday_upper	Waitangi Day	Waitangi Day_lower	Waitangi Day_upper	holidays	holidays_lower	holidays_upper	multiplicative_terms	multiplicative_terms_lower	multiplicative_terms_upper	weekly	weekly_lower	weekly_upper	yearly	yearly_lower	yearly_upper	additive_terms	additive_terms_lower	additive_terms_upper	yhat
2016-01-01	1142.1330700739977	2056.9221894390726	-1166.165626275072	3406.7556712405217	929.3509056586549	1216.8549795050928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007387077169810927	-0.013573274924861226	0.020129155388984042	0.0	0.0	0.0	0.0	0.0	0.0	0.007387077169810927	-0.013573274924861226	0.020129155388984042	0.006303876174012522	-0.13475519862153218	0.09017338857580473	-0.03911618092016463	-0.1631004265248311	0.04211701049692653	0.03803297992436624	-0.014160048636118786	0.09650660501839227	0.0	0.0	0.0	1149.3329355219892
2016-01-02	1142.131815148025	2056.9221894390726	-1078.1820508072249	3461.8083897929205	929.1649201452558	1216.8664080551907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016854639713290889	-0.03393511324051402	0.042530389756168685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016854639713290889	-0.03393511324051402	0.042530389756168685	0.040766161163434435	0.00973316630986239	0.09092840658341168	-0.005737176034610104	-0.02544740271437787	0.025304905869106154	0.044817873226715446	-0.010166504819022346	0.10294755268070027	0.0	0.0	0.0	1188.6921447942352
2016-01-03	1142.1305602217094	2056.9221894390726	-925.0657400048246	3410.206427333733	928.9789411872232	1216.8778365571436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07543528567570669	0.020097205109842954	0.1227142374169495	0.02428308253673463	-0.0081902978298958	0.06223462158336253	0.051152203138972056	-0.005879347885498656	0.10846207784126283	0.0	0.0	0.0	1228.287505310989
2016-01-04	1142.1293052950514	2056.9221894390726	-1183.6756715612275	3409.1067788289693	928.7929687966039	1216.8892650109485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016854639713290889	-0.03393511324051402	0.042530389756168685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016854639713290889	-0.03393511324051402	0.042530389756168685	0.04327408150481737	-0.04370349112210989	0.20251689086149696	-0.015286403158933237	-0.0720546957562363	0.07243523092888403	0.05687502069242152	-0.0013691527806709938	0.11584049362428273	0.0	0.0	0.0	1191.5539019414298
2016-01-05	1142.1280503680507	2056.9221894390726	-926.5689237616334	3607.375877670506	928.6070029854425	1216.900693416603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05857329363469847	-0.002254196460195542	0.09827509451557825	-0.003262134770537223	-0.0776954645701797	0.06969778730370368	0.0618354284052357	0.003291517226331398	0.13371666065250384	0.0	0.0	0.0	1209.0262520306844
2016-01-06	1142.1267954407074	2056.9221894390726	-961.9453056958334	3664.900832713445	928.4210437657814	1216.9121217741042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09421815839008355	0.00443613555992722	0.23029351742706328	0.028321280521294977	-0.007092490975242232	0.10217276246968485	0.06589687786878856	0.008029274038947739	0.1504752139082869	0.0	0.0	0.0	1249.7358787550986
2016-01-07	1142.1255405130214	2056.9221894390726	-1187.4425254773641	3232.338605450523	928.2350911496624	1216.923550083449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07973868610798537	0.006362500165022809	0.23992833499232705	0.01079753182637149	-0.022420495225703822	0.07431206988293008	0.06894115428161389	0.012771001200855003	0.16561626510939698	0.0	0.0	0.0	1233.1971304839024
2016-01-08	1142.1242855849925	2056.9221894390726	-995.1599516665817	3333.407675883979	928.0491451491243	1216.9349783446357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03175574957273673	-0.021746716593718338	0.09728424287856063	-0.039116180920163224	-0.16310042652491583	0.04211701049702603	0.07087193049289997	0.017444865204484766	0.1786779519713224	0.0	0.0	0.0	1178.3932983789705
2016-01-09	1142.1230306566213	2056.9221894390726	-945.6144803394895	3480.296463846801	927.863205776205	1216.9464065576603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06588060764057875	0.007861058885894558	0.18080618790131503	-0.005737176034757939	-0.025447402714788517	0.025304905869068747	0.07161778367533668	0.021981227721093278	0.18924983778662985	0.0	0.0	0.0	1217.3667899165787
2016-01-10	1142.121775727907	2056.9221894390726	-952.9368676136562	3275.297879127234	927.6772730429404	1216.957834722521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09541766404155824	0.011881957929133064	0.22232893811046756	0.024283082536702468	-0.008190297829994449	0.06223462158328222	0.07113458150485577	0.0162627820282621	0.1969848469871755	0.0	0.0	0.0	1251.1003676188604
